Id,Symbol,Name,YahooSymbol,DigitalLookName,CSI,SourceId,Enabled
101,RRS,Randgold Resources Ltd,RRS.L,Randgold_Resources_Ltd,NULL,1,true
89,RSA,RSA Insurance Group,RSA.L,RSA_Insurance_Group,NULL,1,true
38,SAB,SABMiller,SAB.L,SABMiller,NULL,1,false
88,SBRY,Sainsbury (J),SBRY.L,Sainsbury_J,NULL,1,true
69,SDR,Schroders,SDR.L,Schroders,NULL,1,true
83,SGE,Sage Group,SGE.L,Sage_Group,NULL,1,true
43,SHP,Shire Plc,SHP.L,Shire_Plc,NULL,1,true
11,SKY,Sky,SKY.L,Sky,10024,1,true
58,SL.,Standard Life,SL.L,Standard_Life,NULL,1,false
32,SMIN,Smiths Group,SMIN.L,Smiths_Group,NULL,1,true
59,SN.,Smith & Nephew,SN.L,Smith_Nephew,NULL,1,true
98,SPD,Sports Direct International,SPD.L,Sports_Direct_International,NULL,1,true
49,SSE,SSE,SSE.L,SSE,NULL,1,true
46,STAN,Standard Chartered,STAN.L,Standard_chartered,NULL,1,true
97,STJ,St James's Place,STJ.L,St_Jamess_Place,NULL,1,true
84,SVT,Severn Trent,SVT.L,Severn_Trent,NULL,1,true
106,TLW,Tullow Oil,TLW.L,Tullow_Oil,NULL,1,true
91,TPK,Travis Perkins,TPK.L,Travis_Perkins,NULL,1,true
7,TSCO,Tesco,TSCO.L,Tesco,10091,1,true
34,TW.,Taylor Wimpey,TW.L,Taylor_Wimpey,NULL,1,true
24,ULVR,Unilever,ULVR.L,Unilever,10094,1,true
73,UU.,United Utilities Group,UU.L,United_Utilities_Group,NULL,1,true
9,VOD,Vodafone,VOD.L,Vodafone_Group,10097,1,true
30,WEIR,Weir Group,WEIR.L,Weir_Group,NULL,1,true
61,WOS,Wolseley,WOS.L,Wolseley,NULL,1,true
13,WPP,WPP,WPP.L,WPP,10098,1,true
64,WTB,Whitbread,WTB.L,Whitbread,NULL,1,true
